# The columns represent Local time (in hours)
Month of the year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
January,-0.10967772,-0.15161286,-0.21451618,-0.24838725,-0.25322595,-0.27096748,-0.2709679,-0.26935503,-0.28064525,-0.28870958,-0.17258084,0.027419368,0.17419367,0.29999986,0.40967745,0.43064517,0.4370967,0.4467739,0.35161272,0.4048388,0.28870964,0.111290105,-0.022580363,-0.07741941
February,-0.08965518,-0.14137933,-0.14482787,-0.13620679,-0.16724126,-0.12413781,-0.16379304,-0.16034475,-0.15689659,-0.12068965,-0.12931009,-0.031034535,0.12413827,0.27413782,0.42413816,0.337931,0.239655,0.32413825,0.3413796,0.16034494,0.11206903,0.017241314,-0.053448383,-0.07413785
March,-0.27741942,-0.29838717,-0.25322568,-0.28064495,-0.29838696,-0.26612896,-0.27096784,-0.3177418,-0.28709683,-0.29999992,-0.25483865,-0.11612886,-0.009677457,0.119354926,0.16129057,0.18709669,0.2209675,0.09516113,0.004838697,-0.054838672,-0.088709675,-0.23548366,-0.2806453,-0.27258068
April,-0.28999996,-0.22666632,-0.21833356,-0.19000022,-0.1833332,-0.2183333,-0.23333314,-0.23166662,-0.25,-0.2700004,-0.22833297,-0.06000004,0.044999823,0.14333312,0.19499995,0.20833346,0.2716667,0.07833335,0.026666578,-0.039999645,-0.12166646,-0.16666704,-0.20333321,-0.26833326
May,-0.17741941,-0.22419369,-0.25645158,-0.24032223,-0.25322595,-0.29193547,-0.33064502,-0.3209677,-0.332258,-0.3177417,-0.13387096,0.08870986,0.2322581,0.30000016,0.34999987,0.36129034,0.38387108,0.3580644,0.3290321,0.2983869,0.20000002,0.07258089,-0.032258064,-0.103225894
June,-0.14166655,-0.23000018,-0.27999985,-0.32999986,-0.3016667,-0.3366666,-0.31833324,-0.25833353,-0.22833334,-0.20833346,-0.028333474,0.20999998,0.375,0.4633333,0.5149997,0.5433336,0.54833305,0.5833334,0.6166668,0.52500004,0.43833318,0.25499985,0.08999983,-0.033333335
July,-0.029032245,-0.09838707,-0.09193556,-0.10645177,-0.1129031,-0.09516125,-0.070967644,-0.05483886,-0.04032258,-0.012903275,0.1354842,0.33387086,0.45483866,0.5500001,0.60322565,0.6532261,0.6967743,0.75483865,0.79354817,0.798387,0.75967735,0.5225806,0.251613,0.07258089
August,-0.032258064,-0.10322571,-0.1419356,-0.14999987,-0.13064514,-0.106451586,-0.0822581,-0.045161217,-0.030645309,-0.025806611,0.108064465,0.25967747,0.40645137,0.519355,0.6112901,0.73709655,0.89516056,1.0161289,1.1322583,1.0629032,0.73387086,0.3467742,0.10967747,0.032258064
September,-0.009999911,-0.053333346,-0.08833345,-0.08833345,-0.07166659,-0.056666564,-0.048333358,-0.033333205,-0.046666782,-0.04499995,0.076666705,0.24166673,0.41000012,0.58,0.76500005,0.92500013,1.0816671,1.1900002,1.1483334,0.8883334,0.45833352,0.19499995,0.08000005,0.036666617
October,-0.03709676,-0.06129025,-0.088709615,-0.09999976,-0.10161271,-0.101613075,-0.11451598,-0.12258062,-0.1306452,-0.12096756,-0.00967758,0.17419335,0.3951611,0.62258065,0.7903225,0.8806453,0.92096776,0.9419351,0.832258,0.6145161,0.36290336,0.17903236,0.05806449,-0.0064516375
November,-0.043333307,-0.071666844,-0.0883332,-0.106666565,-0.09333337,-0.08500004,-0.09666659,-0.106666885,-0.13000005,-0.12333336,-0.013333257,0.13333301,0.35333335,0.49166673,0.6866667,0.83166665,0.8850001,0.88833314,0.7916666,0.61500007,0.3800001,0.18999997,0.06000004,-0.003333346
December,0.019354789,0.0048388205,-0.009677333,-0.02419367,-0.04354852,-0.0451614,-0.053225793,-0.06612913,-0.053225733,-0.033870943,0.07096783,0.21935481,0.40161282,0.5225806,0.69032264,0.7887099,0.83548415,0.7709675,0.73387104,0.6596775,0.46774217,0.2741936,0.13387096,0.051612917
